Response ID,Time Started,Date Submitted,Status,Language,SessionID,User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Which higher education institution do you or did you study at?,What is your current year of study as of 2025?,What will be your highest qualification when you graduate?,Which of the following best describes the main subject that you are studying? ,Please indicate your nationality.,What is your gender?,Which of these statements best describes your current perception of the organisation as an employer?,Types of roles available:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Career progression and development:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Compensation and benefits:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Work-life balance and culture:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Application and interview process:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  .1,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?   ",Which of these factors would most motivate you to apply for a position at the organisation?  ,Other - Write In (Required):Which of these factors would most motivate you to apply for a position at the organisation?  ,awareness_score,motivation_category,attractiveness_rating,awareness_normalized,attractiveness_normalized,composite_intent_score,cluster
286,2025-09-25 22:49:34,2025-09-25 22:50:32,Complete,English,1758811771_68d5567bdca483.14528354,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,220.255.179.59,103.8862991333,1.3690999746323,Singapore,Singapore,0,54,National University of Singapore (NUS),Year 1,Bachelor's Degree,Media,Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,8,Career growth opportunities,,2,Growth-oriented,8,0.3333333333333333,0.7777777777777778,0.5555555555555556,3
287,2025-09-25 22:52:26,2025-09-25 22:54:16,Complete,English,1758811945_68d557291c5b22.87083439,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,220.255.179.59,103.8862991333,1.3690999746323,Singapore,Singapore,0,54,Nanyang Academy of Fine Arts (NAFA),Year 1,Bachelor's Degree,"Architecture, Building and Planning",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,Work-life balance and culture,,,,10,Job security,,3,Stability-oriented,10,0.6666666666666666,1.0,0.8333333333333333,2
288,2025-09-25 22:54:28,2025-09-25 22:55:10,Complete,English,1758812067_68d557a3363259.24125204,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,220.255.179.59,103.8862991333,1.3690999746323,Singapore,Singapore,0,54,National Institute of Education (NIE),Year 1,Bachelor's Degree,Education/Teaching,Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,3,Meaningful work impact,,2,Values-oriented,3,0.3333333333333333,0.2222222222222222,0.2777777777777778,0
289,2025-09-25 22:56:12,2025-09-25 22:57:09,Complete,English,1758812171_68d5580b13f661.31556499,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,220.255.179.59,103.8862991333,1.3690999746323,Singapore,Singapore,0,54,Johns Hopkins Singapore (JHS),Year 1,Bachelor's Degree,Psychology,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,9,Job security,,4,Stability-oriented,9,1.0,0.8888888888888888,0.9444444444444444,2
290,2025-09-25 22:57:58,2025-09-25 22:58:21,Complete,English,1758812269_68d5586d48d936.07856372,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,220.255.179.59,103.8862991333,1.3690999746323,Singapore,Singapore,0,54,Yale-NUS College,Year 1,Bachelor's Degree,Politics,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,,Application and interview process,,,8,Career growth opportunities,,3,Growth-oriented,8,0.6666666666666666,0.7777777777777778,0.7222222222222222,2
291,2025-09-25 22:58:57,2025-09-25 22:59:34,Complete,English,1758812336_68d558b05bb8f2.63270034,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,220.255.179.59,103.8862991333,1.3690999746323,Singapore,Singapore,0,54,LASALLE College of the Arts (LASALLE),Year 1,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,6,Career growth opportunities,,4,Growth-oriented,6,1.0,0.5555555555555556,0.7777777777777778,1
293,2025-09-25 23:00:34,2025-09-25 23:01:03,Complete,English,1758812433_68d559119179a2.43381430,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,220.255.179.59,103.8862991333,1.3690999746323,Singapore,Singapore,0,54,Yale-NUS College,Year 1,Bachelor's Degree,Mathematical Science/Statistics,Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,9,Meaningful work impact,,4,Values-oriented,9,1.0,0.8888888888888888,0.9444444444444444,2
294,2025-09-25 23:01:28,2025-09-25 23:01:51,Complete,English,1758812485_68d559456eb997.70157760,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,220.255.179.59,103.8862991333,1.3690999746323,Singapore,Singapore,0,54,Yale-NUS College,Year 1,Bachelor's Degree,Politics,Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",,Career progression and development,,Work-life balance and culture,Application and interview process,,,7,Work-life balance,,2,Values-oriented,7,0.3333333333333333,0.6666666666666666,0.5,3
295,2025-09-25 23:02:35,2025-09-25 23:02:59,Complete,English,1758812553_68d55989679333.79733651,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,220.255.179.59,103.8862991333,1.3690999746323,Singapore,Singapore,0,54,LASALLE College of the Arts (LASALLE),Year 1,Bachelor's Degree,"Agriculture, Veterinary Science and related subjects",Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,,Career progression and development,Compensation and benefits,,Application and interview process,,,3,Learning and development,,4,Growth-oriented,3,1.0,0.2222222222222222,0.6111111111111112,1
296,2025-09-25 23:04:14,2025-09-25 23:04:36,Complete,English,1758812652_68d559ec6c9e80.78424432,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,220.255.179.59,103.8862991333,1.3690999746323,Singapore,Singapore,0,54,Embry-Riddle Aeronautical University Singapore,Year 1,Bachelor's Degree,"Medicine, Dentistry and related subjects",Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,,Career progression and development,Compensation and benefits,,Application and interview process,,,5,Learning and development,,4,Growth-oriented,5,1.0,0.4444444444444444,0.7222222222222222,1
297,2025-09-26 10:08:40,2025-09-26 10:15:56,Complete,English,1758852477_68d5f57d790374.74246949,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,39.109.134.102,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,,Work-life balance and culture,Application and interview process,,,5,Work-life balance,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
298,2025-09-26 10:16:52,2025-09-26 10:17:35,Complete,English,1758853010_68d5f792011a44.17683264,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,39.109.134.102,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,,Work-life balance and culture,Application and interview process,,,5,Work-life balance,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
299,2025-09-26 10:18:55,2025-09-26 10:19:21,Complete,English,1758853134_68d5f80e10ff77.28915285,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,39.109.134.102,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,,Work-life balance and culture,Application and interview process,,,5,Work-life balance,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
300,2025-09-26 10:20:02,2025-09-26 10:20:31,Complete,English,1758853200_68d5f850e6e309.75237861,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,39.109.134.102,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,,Work-life balance and culture,Application and interview process,,,5,Work-life balance,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
301,2025-09-26 10:21:00,2025-09-26 10:21:27,Complete,English,1758853258_68d5f88adf6099.75317118,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,39.109.134.102,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,,Work-life balance and culture,Application and interview process,,,5,Work-life balance,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
302,2025-09-26 10:22:04,2025-09-26 10:22:29,Complete,English,1758853322_68d5f8cad22497.56920964,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,39.109.134.102,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,,Work-life balance and culture,Application and interview process,,,5,Work-life balance,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
303,2025-09-26 10:22:51,2025-09-26 10:23:17,Complete,English,1758853370_68d5f8fa67e995.08474171,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,39.109.134.102,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,,Work-life balance and culture,Application and interview process,,,5,Work-life balance,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
304,2025-09-26 10:23:34,2025-09-26 10:24:01,Complete,English,1758853413_68d5f9258a7dc6.26884416,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,39.109.134.102,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,,Work-life balance and culture,Application and interview process,,,5,Work-life balance,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
305,2025-09-26 10:24:27,2025-09-26 10:24:50,Complete,English,1758853465_68d5f959d72d20.92890673,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,39.109.134.102,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,,Work-life balance and culture,Application and interview process,,,5,Work-life balance,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
306,2025-09-26 10:25:09,2025-09-26 10:25:36,Complete,English,1758853507_68d5f983179217.33983981,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,39.109.134.102,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,,Work-life balance and culture,Application and interview process,,,5,Work-life balance,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
307,2025-09-26 18:37:46,2025-09-26 18:40:19,Complete,English,1758883061_68d66cf5eb0d16.11639526,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,180.129.89.2,103.83670043945,1.3652000427246,Singapore,Singapore,0,57,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,6,Work-life balance,,3,Values-oriented,6,0.6666666666666666,0.5555555555555556,0.6111111111111112,1
308,2025-09-26 18:38:53,2025-09-26 20:02:05,Complete,English,1758883130_68d66d3af2e7d9.08391147,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,180.129.89.2,103.83670043945,1.3652000427246,Singapore,Singapore,0,57,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Agriculture, Veterinary Science and related subjects",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,Work-life balance and culture,,,,4,Learning and development,,2,Growth-oriented,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
309,2025-09-26 20:02:27,2025-09-26 20:26:34,Complete,English,1758888145_68d680d17dc710.87277233,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,180.129.89.2,103.83670043945,1.3652000427246,Singapore,Singapore,0,57,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,Creative Arts and Design,Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,Types of roles available,Career progression and development,,Work-life balance and culture,,,,1,Career growth opportunities,,1,Growth-oriented,1,0.0,0.0,0.0,0
310,2025-09-26 20:26:55,2025-09-26 23:30:19,Complete,English,1758889612_68d6868c763435.22996537,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,180.129.89.2,103.83670043945,1.3652000427246,Singapore,Singapore,0,57,Nanyang Technological University (NTU),Year 4,Bachelor's Degree,Psychology,Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,,Compensation and benefits,,Application and interview process,,,3,Career growth opportunities,,2,Growth-oriented,3,0.3333333333333333,0.2222222222222222,0.2777777777777778,0
311,2025-09-27 00:06:20,2025-09-27 00:07:32,Complete,English,1758902775_68d6b9f778ed26.39827110,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6.2 Mobile/22G100 Safari/604.1",,119.234.139.35,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,Psychology,Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,Types of roles available,Career progression and development,Compensation and benefits,,,,,10,Work-life balance,,1,Values-oriented,10,0.0,1.0,0.5,3
312,2025-09-27 00:13:03,2025-09-27 00:14:06,Complete,English,1758903176_68d6bb887ee9d0.33305536,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.139.35,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,English,Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",,,Compensation and benefits,Work-life balance and culture,Application and interview process,,,10,Work-life balance,,2,Values-oriented,10,0.3333333333333333,1.0,0.6666666666666666,3
313,2025-09-27 00:13:44,2025-09-27 00:15:32,Complete,English,1758903217_68d6bbb1560f05.23988679,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.64.74,103.88590240479,1.3552000522614,Singapore,Singapore,0,53,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,Social Science,Singaporean/Singapore PR,Prefer not to say,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,6,Work-life balance,,3,Values-oriented,6,0.6666666666666666,0.5555555555555556,0.6111111111111112,1
314,2025-09-27 00:14:31,2025-09-27 00:15:19,Complete,English,1758903268_68d6bbe42a0237.25414608,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.139.35,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,Mathematical Science/Statistics,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,9,Job security,,3,Stability-oriented,9,0.6666666666666666,0.8888888888888888,0.7777777777777777,2
315,2025-09-27 00:15:34,2025-09-27 00:16:31,Complete,English,1758903332_68d6bc249e0f49.40898842,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.139.35,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,,Career progression and development,,Work-life balance and culture,Application and interview process,,,8,Career growth opportunities,,1,Growth-oriented,8,0.0,0.7777777777777778,0.3888888888888889,3
316,2025-09-27 00:16:43,2025-09-27 00:17:32,Complete,English,1758903401_68d6bc69784df5.65074085,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.139.35,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,,Career progression and development,,Work-life balance and culture,Application and interview process,,,8,Learning and development,,1,Growth-oriented,8,0.0,0.7777777777777778,0.3888888888888889,3
317,2025-09-27 00:17:43,2025-09-27 00:18:36,Complete,English,1758903461_68d6bca54cd2e9.88882806,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.139.35,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,Social Science,Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,Work-life balance and culture,,,,9,Job security,,2,Stability-oriented,9,0.3333333333333333,0.8888888888888888,0.611111111111111,3
318,2025-09-27 00:18:56,2025-09-27 00:19:39,Complete,English,1758903529_68d6bce9a763b6.61858927,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.139.35,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,9,Meaningful work impact,,1,Values-oriented,9,0.0,0.8888888888888888,0.4444444444444444,3
319,2025-09-27 00:19:50,2025-09-27 00:20:38,Complete,English,1758903587_68d6bd23e2c104.56143364,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.139.35,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",,Career progression and development,Compensation and benefits,,Application and interview process,,,10,Job security,,2,Stability-oriented,10,0.3333333333333333,1.0,0.6666666666666666,3
320,2025-09-27 00:20:54,2025-09-27 00:21:41,Complete,English,1758903652_68d6bd64741263.93745613,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.139.35,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Medicine, Dentistry and related subjects",Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",,,Compensation and benefits,Work-life balance and culture,Application and interview process,,,9,Compensation package,,2,Stability-oriented,9,0.3333333333333333,0.8888888888888888,0.611111111111111,3
321,2025-09-27 00:21:56,2025-09-27 00:22:59,Complete,English,1758903714_68d6bda22966c1.47190827,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.139.35,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,Law,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,Work-life balance and culture,,,,10,Job security,,3,Stability-oriented,10,0.6666666666666666,1.0,0.8333333333333333,2
322,2025-09-27 01:28:55,2025-09-27 01:30:02,Complete,English,1758900639_68d6b19f663757.42240438,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,180.129.89.2,103.83670043945,1.3652000427246,Singapore,Singapore,0,57,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,,Application and interview process,,,7,Compensation package,,3,Stability-oriented,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
323,2025-09-27 01:39:10,2025-09-27 01:40:06,Complete,English,1758908348_68d6cfbcbcf9d0.25748237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,180.129.89.2,103.83670043945,1.3652000427246,Singapore,Singapore,0,57,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,Media,Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,Work-life balance and culture,,,,6,Meaningful work impact,,2,Values-oriented,6,0.3333333333333333,0.5555555555555556,0.4444444444444444,3
324,2025-09-27 17:15:41,2025-09-27 17:17:07,Complete,English,1758964530_68d7ab32df7852.83654991,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",,112.199.240.202,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,I’m not familiar enough with the organisation to form a solid opinion,,Career progression and development,Compensation and benefits,,Application and interview process,,,5,Career growth opportunities,,1,Growth-oriented,5,0.0,0.4444444444444444,0.2222222222222222,0
325,2025-09-27 17:18:02,2025-09-27 17:20:07,Complete,English,1758964680_68d7abc833b2f4.84457573,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,112.199.240.202,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,,Application and interview process,,,6,Learning and development,,2,Growth-oriented,6,0.3333333333333333,0.5555555555555556,0.4444444444444444,3
